FID	IID	PHENO
HG00096	HG00096	0.73956
HG00097	HG00097	-0.63683
HG00099	HG00099	0.57049
HG00101	HG00101	-0.01226
HG00102	HG00102	-0.76630
HG00103	HG00103	-0.41756
HG00105	HG00105	-0.73158
HG00107	HG00107	-1.22242
HG00108	HG00108	0.48795
HG00109	HG00109	-0.70116
HG00110	HG00110	-0.38185
HG00111	HG00111	-0.63202
HG00112	HG00112	-0.18958
HG00113	HG00113	-0.28799
HG00114	HG00114	-0.27053
HG00115	HG00115	-0.20632
HG00118	HG00118	-0.77617
HG00119	HG00119	-0.55645
HG00120	HG00120	0.45152
HG00121	HG00121	0.01265
HG00122	HG00122	0.55529
HG00125	HG00125	-0.08535
HG00126	HG00126	-0.39932
HG00127	HG00127	-0.46385
HG00128	HG00128	-0.52281
HG00129	HG00129	0.60466
HG00130	HG00130	0.20642
HG00131	HG00131	0.10421
HG00132	HG00132	-0.17955
HG00133	HG00133	-0.78863
HG00136	HG00136	0.08761
HG00137	HG00137	0.13778
HG00138	HG00138	-0.19234
HG00139	HG00139	0.11423
HG00140	HG00140	0.44847
HG00141	HG00141	-0.67293
HG00142	HG00142	-0.35436
HG00143	HG00143	0.54845
HG00145	HG00145	-0.17293
HG00146	HG00146	-0.43639
HG00148	HG00148	-0.20047
HG00149	HG00149	-0.57832
HG00150	HG00150	-0.84597
HG00151	HG00151	-0.02364
HG00154	HG00154	-0.54582
HG00155	HG00155	-0.47041
HG00157	HG00157	-0.43862
HG00158	HG00158	-0.35232
HG00159	HG00159	0.05204
HG00160	HG00160	-0.41527
HG00171	HG00171	-0.03907
HG00173	HG00173	-0.31381
HG00174	HG00174	0.20394
HG00176	HG00176	0.19848
HG00177	HG00177	-0.30759
HG00178	HG00178	-0.38543
HG00179	HG00179	0.44939
HG00180	HG00180	-0.42793
HG00181	HG00181	-0.48603
HG00182	HG00182	-0.80369
HG00183	HG00183	-0.81979
HG00185	HG00185	0.06296
HG00186	HG00186	0.49736
HG00187	HG00187	0.14828
HG00188	HG00188	-0.79714
HG00189	HG00189	-0.59256
HG00190	HG00190	0.34053
HG00231	HG00231	-0.30646
HG00232	HG00232	0.04220
HG00233	HG00233	-0.37105
HG00234	HG00234	-1.11476
HG00235	HG00235	-0.15246
HG00236	HG00236	0.70636
HG00237	HG00237	-0.75188
HG00238	HG00238	-0.18969
HG00239	HG00239	-0.37072
HG00242	HG00242	0.48414
HG00243	HG00243	-0.37290
HG00244	HG00244	-0.07133
HG00245	HG00245	-0.95865
HG00246	HG00246	-0.07026
HG00250	HG00250	0.49498
HG00251	HG00251	-0.04529
HG00252	HG00252	0.12803
HG00253	HG00253	-0.12504
HG00254	HG00254	-0.55065
HG00255	HG00255	-0.01281
HG00256	HG00256	-0.77743
HG00257	HG00257	-0.00388
HG00258	HG00258	0.28217
HG00259	HG00259	-0.35508
HG00260	HG00260	0.35672
HG00261	HG00261	-0.29455
HG00262	HG00262	-0.68718
HG00263	HG00263	-0.47504
HG00264	HG00264	0.23365
HG00265	HG00265	-0.64251
HG00266	HG00266	-0.55016
HG00267	HG00267	0.68200
HG00268	HG00268	0.04794
HG00269	HG00269	-0.13743
HG00271	HG00271	-0.49921
HG00272	HG00272	-0.18736
HG00273	HG00273	0.06628
HG00274	HG00274	-0.32641
HG00275	HG00275	-0.65187
HG00276	HG00276	-0.18582
HG00277	HG00277	-0.40507
HG00278	HG00278	0.08915
HG00280	HG00280	-0.55485
HG00281	HG00281	0.90753
HG00282	HG00282	-0.77484
HG00284	HG00284	-0.73017
HG00285	HG00285	-0.07022
HG00288	HG00288	-0.23622
HG00290	HG00290	-0.14111
HG00304	HG00304	0.38507
HG00306	HG00306	-0.69308
HG00308	HG00308	-0.07108
HG00309	HG00309	-0.19712
HG00310	HG00310	-0.20764
HG00311	HG00311	-0.24588
HG00313	HG00313	-0.41085
HG00315	HG00315	0.31280
HG00318	HG00318	0.23045
HG00319	HG00319	-0.64949
HG00320	HG00320	-0.88948
HG00321	HG00321	-0.31404
HG00323	HG00323	0.17394
HG00324	HG00324	1.18289
HG00325	HG00325	-0.16772
HG00326	HG00326	0.07434
HG00327	HG00327	0.34599
HG00328	HG00328	-0.69993
HG00329	HG00329	-0.69057
HG00330	HG00330	-0.56812
HG00331	HG00331	-0.69880
HG00332	HG00332	0.13901
HG00334	HG00334	-0.46679
HG00335	HG00335	0.93259
HG00336	HG00336	-1.10044
HG00337	HG00337	-0.65299
HG00338	HG00338	-0.15787
HG00339	HG00339	0.41931
HG00341	HG00341	-0.10396
HG00342	HG00342	-0.20522
HG00343	HG00343	-0.28042
HG00344	HG00344	0.25047
HG00345	HG00345	0.30109
HG00346	HG00346	0.46037
HG00349	HG00349	-0.03545
HG00350	HG00350	-0.35190
HG00351	HG00351	-0.47584
HG00353	HG00353	0.22625
HG00355	HG00355	-0.09603
HG00356	HG00356	0.21419
HG00357	HG00357	0.65739
HG00358	HG00358	-0.47361
HG00360	HG00360	-0.58188
HG00361	HG00361	1.74684
HG00362	HG00362	-0.13361
HG00364	HG00364	-0.21411
HG00365	HG00365	-0.35968
HG00366	HG00366	-0.43481
HG00367	HG00367	-0.15641
HG00368	HG00368	-0.42879
HG00369	HG00369	-0.75370
HG00371	HG00371	-0.67004
HG00372	HG00372	0.30939
HG00373	HG00373	-0.73730
HG00375	HG00375	0.29142
HG00376	HG00376	0.14931
HG00378	HG00378	0.12994
HG00379	HG00379	0.09515
HG00380	HG00380	-0.63028
HG00381	HG00381	0.32418
HG00382	HG00382	0.08240
HG00383	HG00383	-0.27378
HG00384	HG00384	-0.08469
HG01334	HG01334	-0.21949
HG01500	HG01500	-0.20280
HG01501	HG01501	-0.32098
HG01503	HG01503	0.05030
HG01504	HG01504	0.00878
HG01506	HG01506	0.04889
HG01507	HG01507	-0.47852
HG01509	HG01509	-0.33846
HG01510	HG01510	-0.52957
HG01512	HG01512	0.12145
HG01513	HG01513	-0.36264
HG01515	HG01515	0.25943
HG01516	HG01516	-0.11546
HG01518	HG01518	-1.10860
HG01519	HG01519	-0.65755
HG01521	HG01521	-0.60334
HG01522	HG01522	-0.47614
HG01524	HG01524	0.89222
HG01525	HG01525	-0.14787
HG01527	HG01527	-0.07181
HG01528	HG01528	-0.06001
HG01530	HG01530	0.19375
HG01531	HG01531	-0.49815
HG01536	HG01536	-0.07518
HG01537	HG01537	-0.14476
HG01602	HG01602	-0.15753
HG01603	HG01603	0.12036
HG01605	HG01605	0.04650
HG01606	HG01606	-0.51138
HG01607	HG01607	0.64130
HG01608	HG01608	0.78675
HG01610	HG01610	-0.64456
HG01612	HG01612	-0.09747
HG01613	HG01613	-0.54240
HG01615	HG01615	0.18162
HG01617	HG01617	-0.07963
HG01618	HG01618	-0.39907
HG01619	HG01619	-0.06120
HG01620	HG01620	0.58732
HG01623	HG01623	-0.12214
HG01624	HG01624	-0.09805
HG01625	HG01625	-0.51336
HG01626	HG01626	-0.10670
HG01628	HG01628	-0.64331
HG01630	HG01630	-0.37201
HG01631	HG01631	-0.49564
HG01632	HG01632	-0.28327
HG01668	HG01668	0.69339
HG01669	HG01669	-0.52623
HG01670	HG01670	-0.02273
HG01672	HG01672	0.19882
HG01673	HG01673	0.50754
HG01675	HG01675	0.46832
HG01676	HG01676	-0.05920
HG01678	HG01678	-0.24102
HG01679	HG01679	0.07104
HG01680	HG01680	-0.64185
HG01682	HG01682	-0.07133
HG01684	HG01684	-0.84626
HG01685	HG01685	-0.27160
HG01686	HG01686	-0.13085
HG01694	HG01694	-0.15248
HG01695	HG01695	-0.15510
HG01697	HG01697	-0.31139
HG01699	HG01699	-0.01570
HG01700	HG01700	-0.49375
HG01702	HG01702	-0.15311
HG01704	HG01704	0.11730
HG01705	HG01705	0.09714
HG01707	HG01707	-1.18416
HG01708	HG01708	-0.21162
HG01709	HG01709	-0.73792
HG01710	HG01710	-0.14930
HG01746	HG01746	0.43217
HG01747	HG01747	0.30977
HG01756	HG01756	-0.30295
HG01757	HG01757	-0.38901
HG01761	HG01761	-0.26757
HG01762	HG01762	-0.11282
HG01765	HG01765	0.37150
HG01766	HG01766	0.28384
HG01767	HG01767	-0.33265
HG01768	HG01768	0.12665
HG01770	HG01770	0.53279
HG01771	HG01771	0.11439
HG01773	HG01773	0.09108
HG01775	HG01775	-0.83404
HG01776	HG01776	0.56532
HG01777	HG01777	0.51733
HG01779	HG01779	0.48734
HG01781	HG01781	0.20112
HG01783	HG01783	0.14855
HG01784	HG01784	0.01512
HG01785	HG01785	0.14012
HG01786	HG01786	-0.68452
HG01789	HG01789	-0.31102
HG01790	HG01790	-0.51171
HG01791	HG01791	0.36461
HG02215	HG02215	0.58274
HG02219	HG02219	0.30575
HG02220	HG02220	-0.80777
HG02221	HG02221	0.34403
HG02223	HG02223	-0.22821
HG02224	HG02224	-0.58939
HG02230	HG02230	0.15679
HG02231	HG02231	0.07331
HG02232	HG02232	0.82947
HG02233	HG02233	0.00141
HG02235	HG02235	-0.44560
HG02236	HG02236	0.05851
HG02238	HG02238	0.48505
HG02239	HG02239	-0.75996
NA06984	NA06984	0.41113
NA06985	NA06985	-0.64825
NA06986	NA06986	-0.02164
NA06989	NA06989	0.28969
NA06994	NA06994	-0.59017
NA07000	NA07000	-0.27860
NA07037	NA07037	-0.26085
NA07048	NA07048	-0.20950
NA07051	NA07051	-0.84573
NA07056	NA07056	-0.28937
NA07347	NA07347	0.02464
NA07357	NA07357	-0.92052
NA10847	NA10847	-0.31543
NA10851	NA10851	-0.47183
NA11829	NA11829	0.08092
NA11830	NA11830	-0.13127
NA11831	NA11831	0.16694
NA11832	NA11832	-0.58325
NA11840	NA11840	-0.81527
NA11843	NA11843	-0.29182
NA11881	NA11881	-1.00712
NA11892	NA11892	-0.39516
NA11893	NA11893	0.08838
NA11894	NA11894	-0.57073
NA11918	NA11918	0.22603
NA11919	NA11919	-0.19343
NA11920	NA11920	-0.21345
NA11930	NA11930	-0.11039
NA11932	NA11932	-0.30168
NA11933	NA11933	-0.45177
NA11992	NA11992	0.05958
NA11994	NA11994	0.01845
NA11995	NA11995	-0.68932
NA12003	NA12003	-0.70229
NA12004	NA12004	-0.24232
NA12005	NA12005	0.20509
NA12006	NA12006	-0.72079
NA12043	NA12043	0.05431
NA12044	NA12044	-0.37221
NA12046	NA12046	-0.58557
NA12058	NA12058	-0.24374
NA12144	NA12144	-0.28886
NA12154	NA12154	0.26122
NA12156	NA12156	0.76998
NA12234	NA12234	-0.16916
NA12249	NA12249	-1.34555
NA12272	NA12272	-1.08230
NA12273	NA12273	-0.31465
NA12275	NA12275	0.20133
NA12282	NA12282	-0.20482
NA12283	NA12283	0.88783
NA12286	NA12286	0.00013
NA12287	NA12287	-0.18332
NA12340	NA12340	-0.33510
NA12341	NA12341	0.53622
NA12342	NA12342	-0.36072
NA12347	NA12347	-0.10974
NA12348	NA12348	0.70556
NA12399	NA12399	-0.57332
NA12400	NA12400	-0.34070
NA12413	NA12413	0.12745
NA12414	NA12414	-0.67053
NA12489	NA12489	-0.61138
NA12546	NA12546	0.30460
NA12716	NA12716	-0.72223
NA12717	NA12717	-0.16093
NA12718	NA12718	-0.44316
NA12748	NA12748	-0.02192
NA12749	NA12749	-0.34088
NA12750	NA12750	-0.04875
NA12751	NA12751	-0.55699
NA12761	NA12761	-0.30761
NA12762	NA12762	0.54157
NA12763	NA12763	-0.28091
NA12775	NA12775	-0.28595
NA12776	NA12776	-0.05605
NA12777	NA12777	0.33387
NA12778	NA12778	-0.05672
NA12812	NA12812	-0.14292
NA12813	NA12813	-0.30708
NA12814	NA12814	-0.72579
NA12815	NA12815	-0.82977
NA12827	NA12827	-0.29948
NA12828	NA12828	-0.40483
NA12829	NA12829	-0.28375
NA12830	NA12830	-1.29772
NA12842	NA12842	0.21527
NA12843	NA12843	0.07856
NA12872	NA12872	-0.81377
NA12873	NA12873	-0.75767
NA12874	NA12874	-0.75413
NA12878	NA12878	0.03009
NA12889	NA12889	0.03159
NA12890	NA12890	-0.66029
NA20502	NA20502	-0.29195
NA20503	NA20503	-0.57034
NA20504	NA20504	-0.55371
NA20505	NA20505	0.34004
NA20506	NA20506	0.09923
NA20507	NA20507	-0.40214
NA20508	NA20508	-0.55572
NA20509	NA20509	-0.27477
NA20510	NA20510	-0.71438
NA20511	NA20511	0.09380
NA20512	NA20512	-0.62301
NA20513	NA20513	0.27532
NA20514	NA20514	0.15128
NA20515	NA20515	-0.20724
NA20516	NA20516	-0.94669
NA20517	NA20517	-0.13778
NA20518	NA20518	0.52264
NA20519	NA20519	-0.57401
NA20520	NA20520	-0.15521
NA20521	NA20521	-0.44145
NA20522	NA20522	-0.18885
NA20524	NA20524	0.36706
NA20525	NA20525	-0.19053
NA20527	NA20527	-0.12115
NA20528	NA20528	-0.31898
NA20529	NA20529	0.82226
NA20530	NA20530	-0.65736
NA20531	NA20531	-0.25348
NA20532	NA20532	-0.38432
NA20533	NA20533	-0.75358
NA20534	NA20534	-0.18768
NA20535	NA20535	-0.52102
NA20536	NA20536	0.02791
NA20538	NA20538	-0.01947
NA20539	NA20539	0.10034
NA20540	NA20540	0.03082
NA20541	NA20541	-0.96608
NA20542	NA20542	0.58916
NA20543	NA20543	-0.08343
NA20544	NA20544	-0.46923
NA20581	NA20581	0.43731
NA20582	NA20582	-0.04436
NA20585	NA20585	0.18803
NA20586	NA20586	-0.53571
NA20587	NA20587	-0.92679
NA20588	NA20588	0.44967
NA20589	NA20589	-0.00800
NA20752	NA20752	-0.96916
NA20753	NA20753	-0.36264
NA20754	NA20754	-0.04704
NA20755	NA20755	-0.32513
NA20756	NA20756	-0.94107
NA20757	NA20757	-0.28459
NA20758	NA20758	0.94587
NA20759	NA20759	-0.21416
NA20760	NA20760	-0.37672
NA20761	NA20761	-0.57449
NA20762	NA20762	-0.42130
NA20763	NA20763	-0.27131
NA20764	NA20764	-0.08444
NA20765	NA20765	-0.28502
NA20766	NA20766	-0.16355
NA20767	NA20767	-0.48518
NA20768	NA20768	-0.68751
NA20769	NA20769	0.02006
NA20771	NA20771	-0.08962
NA20772	NA20772	0.40367
NA20773	NA20773	-0.71477
NA20774	NA20774	0.36849
NA20775	NA20775	-0.77405
NA20778	NA20778	0.42963
NA20783	NA20783	-0.60514
NA20785	NA20785	-0.23249
NA20790	NA20790	-0.41539
NA20792	NA20792	0.08262
NA20795	NA20795	-0.22022
NA20796	NA20796	0.23782
NA20797	NA20797	0.09605
NA20798	NA20798	0.42201
NA20799	NA20799	-0.01263
NA20800	NA20800	-0.21149
NA20801	NA20801	-0.46568
NA20802	NA20802	-0.20339
NA20803	NA20803	-0.74049
NA20804	NA20804	-0.02323
NA20805	NA20805	0.27529
NA20806	NA20806	0.13071
NA20807	NA20807	0.96916
NA20808	NA20808	0.44305
NA20809	NA20809	-0.41934
NA20810	NA20810	-0.01191
NA20811	NA20811	0.12091
NA20812	NA20812	-0.19360
NA20813	NA20813	-1.01619
NA20814	NA20814	-0.49477
NA20815	NA20815	-0.50894
NA20818	NA20818	-0.94573
NA20819	NA20819	0.28603
NA20821	NA20821	-0.37099
NA20822	NA20822	-0.04585
NA20826	NA20826	-0.21849
NA20827	NA20827	0.46363
NA20828	NA20828	0.20671
NA20832	NA20832	0.36268
